Date,Close,p_up_next_5d,signal
2025-03-11,2546.783203125,0.4925358050232092,HOLD
2025-03-12,2535.844970703125,0.5179584369086513,HOLD
2025-03-13,2539.490966796875,0.4781705922781368,HOLD
2025-03-16,2594.18212890625,0.461236256848999,HOLD
2025-03-17,2610.589599609375,0.46646987291859593,HOLD
2025-03-18,2630.64306640625,0.45786426493180843,HOLD
2025-03-19,2650.6962890625,0.44778739912064786,HOLD
2025-03-20,2630.64306640625,0.5054091780749501,HOLD
2025-03-23,2679.864990234375,0.4492676588551939,HOLD
2025-03-24,2674.395751953125,0.4886971080188033,HOLD
2025-03-25,2727.263916015625,0.5117915362252314,HOLD
2025-03-26,2729.0869140625,0.4659875052637706,HOLD
2025-03-27,2698.09521484375,0.4787999526471359,HOLD
2025-03-30,2670.749755859375,0.6076606200387024,BUY
2025-03-31,2756.4326171875,0.492509575856176,HOLD
2025-04-01,2791.0703125,0.4995559367714024,HOLD
2025-04-02,2740.025146484375,0.5025180361355742,HOLD
2025-04-03,2654.342529296875,0.5376131854784882,HOLD
2025-04-06,2590.5361328125,0.5306174835273818,HOLD
2025-04-07,2661.634521484375,0.507145751640407,HOLD
2025-04-08,2579.597900390625,0.5410922321610427,HOLD
2025-04-09,2641.5810546875,0.4103248613586482,HOLD
2025-04-10,2588.713134765625,0.418172397340411,HOLD
2025-04-13,2621.52783203125,0.3868992157849248,HOLD
2025-04-14,2585.06689453125,0.437433965837636,HOLD
2025-04-15,2616.05859375,0.3851925061093897,HOLD
2025-04-16,2603.29736328125,0.37990749890010506,HOLD
2025-04-21,2667.103759765625,0.4294920052258171,HOLD
2025-04-22,2676.218994140625,0.40293256223957213,HOLD
2025-04-23,2674.395751953125,0.39960243753262625,HOLD
2025-04-24,2756.4326171875,0.43367197319528117,HOLD
2025-04-27,2749.140380859375,0.40649322284398054,HOLD
2025-04-28,2752.786376953125,0.412348523781816,HOLD
2025-04-29,2747.3173828125,0.43911287888832584,HOLD
2025-05-04,2738.2021484375,0.4618654570826268,HOLD
2025-05-05,2729.0869140625,0.4910706779622222,HOLD
2025-05-06,2721.794921875,0.49709300925573396,HOLD
2025-05-07,2734.55615234375,0.5060540822288233,HOLD
2025-05-08,2796.539306640625,0.4690418792876614,HOLD
2025-05-11,2771.016845703125,0.4919256339434235,HOLD
2025-05-12,2807.4775390625,0.5186940435582754,HOLD
2025-05-13,2853.053466796875,0.5299756078234098,HOLD
2025-05-14,2836.646240234375,0.4878918849041635,HOLD
2025-05-15,2853.053466796875,0.44620158195004544,HOLD
2025-05-18,2843.938232421875,0.5344099689619669,HOLD
2025-05-19,2849.407470703125,0.4985227547510513,HOLD
2025-05-20,2831.177001953125,0.5899239373318195,BUY
2025-05-21,2823.885009765625,0.5806061012914792,BUY
2025-05-22,2836.646240234375,0.5560737312128095,BUY
2025-05-25,2858.522705078125,0.5087056775082334,HOLD
2025-05-26,2878.575927734375,0.4599890352129308,HOLD
2025-05-27,2862.168701171875,0.46357892300933706,HOLD
2025-05-28,2854.87646484375,0.4970541500054266,HOLD
2025-05-29,2803.83154296875,0.6300346181893883,BUY
2025-06-01,2825.7080078125,0.5863561832957103,BUY
2025-06-02,2833.0,0.6071002180320229,BUY
2025-06-03,2854.0,0.5322198366841728,HOLD
2025-06-04,2850.0,0.5507882222805247,BUY
2025-06-05,2840.0,0.5744655671395891,BUY
2025-06-09,2918.0,0.49714301392340327,HOLD
2025-06-10,2914.0,0.4561791953620648,HOLD
2025-06-11,2902.0,0.4763986886168983,HOLD
2025-06-12,2926.0,0.5163271570070137,HOLD
2025-06-15,2910.0,0.5249067285024757,HOLD
2025-06-16,2960.0,0.50464081454145,HOLD
2025-06-17,2988.0,0.5058861339083456,HOLD
2025-06-18,2966.0,0.46427542749611944,HOLD
2025-06-19,2994.0,0.4899461298071552,HOLD
2025-06-22,2990.0,0.5121012377875835,HOLD
2025-06-23,2972.0,0.5530290536523644,BUY
2025-06-24,2964.0,0.6013951220198198,BUY
2025-06-25,2952.0,0.6124222760762392,BUY
2025-06-26,2956.0,0.576056322863277,BUY
2025-06-29,2954.0,0.5958842679173668,BUY
2025-06-30,2970.0,0.4867107569657142,HOLD
2025-07-01,2968.0,0.5014001076263366,HOLD
2025-07-02,3020.0,0.5123717773750518,HOLD
2025-07-03,3016.0,0.45611398174288503,HOLD
2025-07-06,2982.0,0.5727125129819125,BUY
2025-07-07,3000.0,0.5049691037210561,HOLD
2025-07-08,3012.0,0.5128389122452022,HOLD
2025-07-09,3030.0,0.4803451331668688,HOLD
2025-07-10,3030.0,0.5108853798299038,HOLD
2025-07-13,3014.0,0.570520755260467,BUY
2025-07-14,3024.0,0.5251582838863406,HOLD
2025-07-15,2996.0,0.6301435912316474,BUY
2025-07-16,3020.0,0.5231125679312827,HOLD
2025-07-17,3050.0,0.5213692224500954,HOLD
2025-07-20,3042.0,0.5075044376389478,HOLD
2025-07-21,3020.0,0.5992588862404926,BUY
2025-07-22,3058.0,0.5158466668116058,HOLD
2025-07-23,3072.0,0.500781033054266,HOLD
2025-07-24,3080.0,0.4667957093159575,HOLD
2025-07-27,3070.0,0.5572700392876831,BUY
2025-07-28,3042.0,0.5852368569350144,BUY
2025-07-29,3050.0,0.5798203106246332,BUY
2025-07-30,3050.0,0.5876985979618788,BUY
2025-07-31,3022.0,0.6090451964600807,BUY
2025-08-03,3000.0,0.5971668119656875,BUY
2025-08-04,3022.0,0.5470132879622213,HOLD
2025-08-05,3008.0,0.5926237225043336,BUY
2025-08-06,3010.0,0.5058027494468251,HOLD
2025-08-07,2998.0,0.5191459409663447,HOLD
2025-08-10,2968.0,0.5759389918948736,BUY
2025-08-11,2998.0,0.5033077127922748,HOLD
2025-08-12,2998.0,0.5295855964275958,HOLD
2025-08-13,3000.0,0.4981518404587187,HOLD
2025-08-14,2976.0,0.5837772623345834,BUY
2025-08-17,3000.0,0.5057376101458018,HOLD
2025-08-18,3006.0,0.5703777714948096,BUY
2025-08-20,3008.0,0.5345689692561274,HOLD
2025-08-21,2950.0,0.5971423772768755,BUY
2025-08-24,2936.0,0.603356515710678,BUY
2025-08-25,2944.0,0.5902633167601102,BUY
2025-08-26,2966.0,0.5493208171522199,HOLD
2025-08-27,2950.0,0.573096966792685,BUY
2025-08-28,2914.0,0.5652720508784693,BUY
2025-08-31,2934.0,0.5295730685485893,HOLD
2025-09-01,2890.0,0.5859495180677762,BUY
2025-09-02,2888.0,0.503600221116853,HOLD
2025-09-03,2924.0,0.500815970294823,HOLD
2025-09-04,2900.0,0.5701576742812694,BUY
2025-09-07,2880.0,0.5442898824368504,HOLD
2025-09-08,2890.0,0.5231390520762615,HOLD
2025-09-09,2898.0,0.5086496814710432,HOLD
2025-09-10,2908.0,0.4774118831540888,HOLD
2025-09-11,2850.0,0.5712022204837066,BUY
2025-09-14,2812.0,0.5682201099862458,BUY
